Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)"
West Bank and Gaza,4422143,12677399994.8544,2866.80010005429,99.9,100,99.8667128680176,92.3,58.4,81.5,50.7
French Polynesia,282764,,,100,100,100,98.5,100,100,100
Qatar,2235355,164641483516484,73653.3944346574,100,100,100,98,100,100,100
Romania,19815308,177954489851961,8980.65727022567,100,100,100,79.1,100,100,100
Russian Federation,144096870,1365865245098.8,9329.29835135239,100,100,100,72.2,96.9,91.2,98.9
Rwanda,11609666,8095980013.73418,697.34822808289,19.8,9.1,47.5325307931755,61.6,76.1,71.9,86.6
South Asia,1744161298,2683305442945.9,1538.45028325236,80.0487855689844,71.7608461482052,97.1007535468152,44.7706105166083,92.4002037078224,90.9178871417198,95.3473637905747
Saudi Arabia,31540372,646001866666667,20481.7453220484,100,100,100,100,97,97,97
Sudan,40234882,97156119150,2414.72360102858,44.9,31.7,70.9588395678156,,,,
Senegal,15129273,13609989582.0353,899.579879484977,61,32.7,97.9178887939005,47.6,78.5,67.3,92.9
Singapore,5535002,292739307535642,52888.7446717529,100,100,100,100,100,,100
Solomon Islands,583591,1129164718.81436,1934.85629287353,35.114559173584,33.9270973205566,39.3552517682472,29.8,80.8,77.2,93.2
Sierra Leone,6453184,4214779784.51914,653.131815940648,13.0969915390015,1.00601589679718,31.5557529635219,13.3,62.6,47.8,84.9
El Salvador,6126583,25850200000,4219.35032953932,95.125416,90.262428,97.6022325908783,75,93.8,86.5,97.5
San Marino,31781,,,100,100,100,,,,
Somalia,10787104,5925000000,549.266976567576,19.0597820281982,11.1989994049072,31.314619151807,,,,
Serbia,7095383,37160332465.1645,5237.25533423136,100,100,100,96.4,99.2,98.9,99.4
South Sudan,12339812,9015221096.24474,730.580100916022,4.53042507171631,3.64888715744019,8.39063316807558,6.7,58.7,56.9,66.7
Sao Tome and Principe,190344,317696178.686716,1669.06326801326,68.6,54.8,76.1917162322915,34.7,97.1,93.6,98.9
Suriname,542975,5150291216.67106,9485.31924429496,100,96.7675170898438,100,79.2,94.8,88.4,98.1
Slovak Republic,5423801,87263622047.2441,16089.0161802109,100,100,100,98.8,100,100,100
Slovenia,2063531,42774769768.2156,20728.9203642764,100,100,100,99.1,99.5,99.4,99.7
Sweden,9799186,495694356611551,50585.2584706067,100,100,100,99.3,100,100,100
Swaziland,1286970,4118488059.31546,3200.14301756487,65,26.4854125976563,100,57.5,74.1,68.9,93.6
Sint Maarten (Dutch part),38824,,,100,100,100,,,,
Seychelles,93419,1437722206.38754,15390.0406382807,99.5441818237305,98.7362823486328,100,98.4,95.7,95.7,95.7
Syrian Arab Republic,18502413,,,95.8432235717773,86.4500350952148,100,95.7,90.1,87.2,92.3
Turks and Caicos Islands,34339,,,94.9863433837891,100,94.5412638603712,,,,
Chad,14037472,10888798113.7866,775.695090525313,8.01762580871582,4.5271520614624,20.1507731377194,12.1,50.8,44.8,71.8
Togo,7304578,4087903912.67555,559.635876661945,45.7,16.3,90.7888309729358,11.6,63.1,44.2,91.4
Thailand,67959359,395168025882.03,5814.76976382355,100,100,100,93,97.8,98,97.6
Tajikistan,8481855,7853450374.0001,925.91188767081,99.9897613525391,99.2894592285156,100,95,73.8,66.7,93.1
Turkmenistan,5373502,35854571428.5714,6672.47754417351,100,100,100,,,,
Timor-Leste,1184765,1441718600,1216.8814912662,45.3802375793457,37.0217056274414,63.0356301916528,40.6,71.9,60.5,95.2
Tonga,106170,435142408.969348,4098.54392925825,95.2517471313477,91.4928665161133,100,91,99.6,99.6,99.7
Trinidad and Tobago,1360088,23559287483.9276,17321.884675056,100,99.7826614379883,100,91.5,95.1,95.1,95.1
