Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)",maximum percentage
Rwanda,11609666,8095980014,697.3482281,19.8,9.1,47.53253079,61.6,76.1,71.9,86.6,100
South Asia,1744161298,2.68E+12,1538.450283,80.04878557,71.76084615,97.10075355,44.77061052,92.40020371,90.91788714,95.34736379,100
Saudi Arabia,31540372,6.46E+14,20481.74532,100,100,100,100,97,97,97,100
Sudan,40234882,97156119150,2414.723601,44.9,31.7,70.95883957,0,0,0,0,100
Senegal,15129273,13609989582,899.5798795,61,32.7,97.91788879,47.6,78.5,67.3,92.9,100
Singapore,5535002,2.93E+14,52888.74467,100,100,100,100,100,,100,100
Solomon Islands,583591,1129164719,1934.856293,35.11455917,33.92709732,39.35525177,29.8,80.8,77.2,93.2,100
Sierra Leone,6453184,4214779785,653.1318159,13.09699154,1.006015897,31.55575296,13.3,62.6,47.8,84.9,100
El Salvador,6126583,25850200000,4219.35033,95.125416,90.262428,97.60223259,75,93.8,86.5,97.5,100
San Marino,31781,0,0,100,100,100,0,0,0,0,100
Somalia,10787104,5925000000,549.2669766,19.05978203,11.1989994,31.31461915,0,0,0,0,100
Serbia,7095383,37160332465,5237.255334,100,100,100,96.4,99.2,98.9,99.4,100
South Sudan,12339812,9015221096,730.5801009,4.530425072,3.648887157,8.390633168,6.7,58.7,56.9,66.7,100
Sao Tome and Principe,190344,317696178.7,1669.063268,68.6,54.8,76.19171623,34.7,97.1,93.6,98.9,100
Suriname,542975,5150291217,9485.319244,100,96.76751709,100,79.2,94.8,88.4,98.1,100
Slovak Republic,5423801,87263622047,16089.01618,100,100,100,98.8,100,100,100,100
Slovenia,2063531,42774769768,20728.92036,100,100,100,99.1,99.5,99.4,99.7,100
Sweden,9799186,4.96E+14,50585.25847,100,100,100,99.3,100,100,100,100
Swaziland,1286970,4118488059,3200.143018,65,26.4854126,100,57.5,74.1,68.9,93.6,100
Sint Maarten (Dutch part),38824,0,0,100,100,100,0,0,0,0,100
Seychelles,93419,1437722206,15390.04064,99.54418182,98.73628235,100,98.4,95.7,95.7,95.7,100
Syrian Arab Republic,18502413,0,0,95.84322357,86.4500351,100,95.7,90.1,87.2,92.3,100
Turks and Caicos Islands,34339,0,0,94.98634338,100,94.54126386,0,0,0,0,100
Chad,14037472,10888798114,775.6950905,8.017625809,4.527152061,20.15077314,12.1,50.8,44.8,71.8,100
Togo,7304578,4087903913,559.6358767,45.7,16.3,90.78883097,11.6,63.1,44.2,91.4,100
Thailand,67959359,3.95E+11,5814.769764,100,100,100,93,97.8,98,97.6,100
Tajikistan,8481855,7853450374,925.9118877,99.98976135,99.28945923,100,95,73.8,66.7,93.1,100
Turkmenistan,5373502,35854571429,6672.477544,100,100,100,0,0,0,0,100
Timor-Leste,1184765,1441718600,1216.881491,45.38023758,37.02170563,63.03563019,40.6,71.9,60.5,95.2,100
Tonga,106170,435142409,4098.543929,95.25174713,91.49286652,100,91,99.6,99.6,99.7,100
Trinidad and Tobago,1360088,23559287484,17321.88468,100,99.78266144,100,91.5,95.1,95.1,95.1,100
Tunisia,11253554,43015089723,3822.356006,99.8,99.61245728,99.89386282,91.6,97.7,93.2,100,100
